To get vaccinated is better than to get diseased,"Vaccines are recommended only or children, adults don't need it",Only those at high risk should take the vaccines,There are no side effects of taking vaccine,I need to take vaccine before international travel,There are no contraindications for taking vaccines,"I should take vaccine even if I have contraindication, as I need to travel internationally",I can take vaccine even if I have fever,I am absolutely safe after taking vaccine i.e. I will not get disease at all for which I am vaccinated,I am safe even if I don't take all scheduled doses of recommended vaccines
Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Don't know,Don't know,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Don't know,Strongly disagree,Strongly disagree
Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Agree,Disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Don't know,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Don't know,Agree,Disagree,Agree,Don't know,Agree,Agree,Agree,Don't know
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Don't know,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree
Strongly agree,Strongly disagree,Strongly disagree,Agree,Don't know,Agree,Agree,Agree,Strongly disagree,Strongly disagree
